hsa-let-7f-2	kidney cancer	up-regulated	microarray	2007	Micro-RNA profiling in kidney and bladder cancers.
hsa-miR-30c	colorectal cancer	down-regulated	Northern blot, qRT-PCR etc	2006	Differentially regulated micro-RNAs and actively translated messenger RNA transcripts by tumor suppressor p53 in colon cancer.
hsa-miR-30c	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30c	miyoshi myopathy (MM)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-30c	pancreatic cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-30c	prostate cancer	up-regulated	microarray	2006	A microRNA expression signature of human solid tumors defines cancer gene targets.
hsa-miR-30c	prostate cancer	down-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-30c	prostate cancer	up-regulated	Northern blot, qRT-PCR etc	2008	Expression of microRNAs and protein-coding genes associated with perineural invasion in prostate cancer.
hsa-miR-30c	psoriasis	down-regulated	microarray	2007	MicroRNAs: novel regulators involved in the pathogenesis of Psoriasis?
hsa-miR-30c-1	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-30d	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-30d	anaplastic thyroid carcinoma (ATC)	down-regulated	Northern blot, qRT-PCR etc	2007	Specific microRNAs are downregulated in human thyroid anaplastic carcinomas.
hsa-miR-30d	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-30d	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-101	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-155	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2009	The expression profile of microRNAs in a model of
7,12-dimethyl-benz[a]anthrance-induced oral carcinogenesis in Syrian hamster.
hsa-miR-155	pancreatic ductal adenocarcinoma (PDAC)	up-regulated	northern blot, qRT-PCR etc	2009	Elevated expression of microRNAs 155, 203, 210 and 222 in pancreatic tumours associates with poorer survival.
hsa-miR-15a	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-16	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	northern blot, qRT-PCR etc	2009	The expression profile of microRNAs in a model of
7,12-dimethyl-benz[a]anthrance-induced oral carcinogenesis in Syrian hamster.
hsa-miR-16	hepatocellular carcinoma (HCC)	up-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-17-5p	pulmonary hypertension	up-regulated	northern blot, qRT-PCR etc	2009	Interleukin-6 modulates the expression of the bone morphogenic protein receptor type II through a novel STAT3-microRNA cluster 17/92 pathway.
hsa-miR-17-5p	hepatocellular carcinoma (HCC)	up-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-18	hepatocellular carcinoma (HCC)	hepatocellular carcinoma (HCC)	microarray	2009	Role of the miR-106b-25 microRNA cluster in hepatocellular carcinoma.
hsa-miR-182	lung cancer	up-regulated	northern blot, qRT-PCR etc	2009	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
hsa-miR-183	lung cancer	up-regulated	northern blot, qRT-PCR etc	2009	Restoration of tumour suppressor hsa-miR-145 inhibits cancer cell growth in lung  adenocarcinoma patients with epidermal growth factor receptor mutation.
hsa-miR-184	adrenocortical carcinoma	up-regulated	microarray	2009	Integrative molecular-bioinformatics study of human adrenocortical tumors: microRNA, tissue specific target prediction and pathway analysis.
hsa-miR-185	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-18a*	colorectal cancer	down-regulated	northern blot, qRT-PCR etc	2009	The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras.
hsa-miR-18a*	squamous carcinoma	down-regulated	northern blot, qRT-PCR etc	2009	The miR-18a* microRNA functions as a potential tumor suppressor by targeting on K-Ras.
hsa-miR-194	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-195	hepatocellular carcinoma (HCC)	down-regulated	northern blot, qRT-PCR etc	2009	MicroRNA-195 suppresses tumorigenicity and regulates G(1)/S transition of human hepatocellular carcinoma cells.
hsa-miR-195	bladder cancer	down-regulated	northern blot, qRT-PCR etc	2009	Identification of novel microRNA targets based on microRNA signatures in bladder cancer.
hsa-miR-195	hepatocellular carcinoma (HCC)	down-regulated	microarray	2009	Bead-based microarray analysis of microRNA expression in hepatocellular carcinoma: miR-338 is downregulated.
hsa-miR-195*	Malignant mesothelioma (MM)	up-regulated	microarray	2009	CDKN2A, NF2, and JUN are dysregulated among other genes by miRNAs in malignant mesothelioma -A miRNA microarray analysis.
hsa-miR-373	testicular germ cell tumor	up-regulated	microarray	2007	High-throughput microRNAome analysis in human germ cell tumours.
hsa-miR-373*	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-373*	ovarian cancer (OC)	up-regulated	microarray	2008	MicroRNA expression and identification of putative miRNA targets in ovarian cancer.
hsa-miR-373*	prostate cancer	up-regulated	microarray	2007	MicroRNA expression profiling in prostate cancer.
hsa-miR-374	acute myeloid leukemia (AML)	up-regulated	microarray	2008	Distinctive patterns of microRNA expression associated with karyotype in acute myeloid leukaemia.
hsa-miR-374	epithelial ovarian cancer (EOC)	down-regulated	microarray	2007	MicroRNA signatures in human ovarian cancer.
hsa-miR-374	head and neck squamous cell carcinoma (HNSCC)	down-regulated	microarray	2007	High mobility group A2 is a target for miRNA-98 in head and neck squamous cell carcinoma.
hsa-miR-374	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-374	malignant melanoma	up-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-374	Oral Squamous Cell Carcinoma (OSCC)	up-regulated	microarray	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-375	pancreatic cancer	down-regulated	microarray	2007	MicroRNA expression patterns to differentiate pancreatic adenocarcinoma from normal pancreas and chronic pancreatitis.
hsa-miR-375	pancreatic ductal adenocarcinoma (PDAC)	down-regulated	microarray	2007	MicroRNA expression alterations are linked to tumorigenesis and non-neoplastic processes in pancreatic ductal adenocarcinoma.
hsa-miR-376a	epithelial ovarian cancer (EOC)	down-regulated	Northern blot, qRT-PCR etc	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-376a	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-376a	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-376a	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-376a	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-376a	pancreatic cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Expression profiling identifies microRNA signature in pancreatic cancer.
hsa-miR-376b	epithelial ovarian cancer (EOC)	down-regulated	Northern blot, qRT-PCR etc	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-376b	uterine leiomyoma (ULM)	up-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-377	epithelial ovarian cancer (EOC)	down-regulated	Northern blot, qRT-PCR etc	2008	Genomic and epigenetic alterations deregulate microRNA expression in human epithelial ovarian cancer.
hsa-miR-377	uterine leiomyoma (ULM)	up-regulated	microarray	2008	Differential expression of microRNA species in human uterine leiomyoma versus normal myometrium.
hsa-miR-378	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
hsa-miR-154	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-154	limb-girdle muscular dystrophies types 2A (LGMD2A)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-154	malignant melanoma	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNA let-7b targets important cell cycle molecules in malignant melanoma cells and interferes with anchorage-independent growth.
hsa-miR-154	miyoshi myopathy (MM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-154	nemaline myopathy (NM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-154	polymyositis (PM)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-154*	glioblastoma multiforme (GBM)	down-regulated	Northern blot, qRT-PCR etc	2008	miR-124 and miR-137 inhibit proliferation of glioblastoma multiforme cells and induce differentiation of brain tumor stem cells.
hsa-miR-155	chronic lymphocytic leukemia (CLL)	up-regulated	Northern blot, qRT-PCR etc	2005	A MicroRNA signature associated with prognosis and progression in chronic lymphocytic leukemia.
hsa-miR-155	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2008	Detection of elevated levels of tumour-associated microRNAs in serum of patients with diffuse large B-cell lymphoma.
hsa-miR-155	lung cancer	up-regulated	Northern blot, qRT-PCR etc	2006	Unique microRNA molecular profiles in lung cancer diagnosis and prognosis.
hsa-miR-155	acute lymphoblastic leukemia (ALL)	up-regulated	Northern blot, qRT-PCR etc	2006	Pre-B cell proliferation and lymphoblastic leukemia/high-grade lymphoma in E(mu)-miR155 transgenic mice.
hsa-miR-155	diffuse large B-cell lymphoma (DLBCL)	up-regulated	Northern blot, qRT-PCR etc	2006	MicroRNA-155 regulates human angiotensin II type 1 receptor expression in fibroblasts.
hsa-miR-155	myeloproliferative disorder	up-regulated	Northern blot, qRT-PCR etc	2008	Sustained expression of microRNA-155 in hematopoietic stem cells causes a myeloproliferative disorder.
hsa-miR-222	Duchenne muscular dystrophy (DMD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	facioscapulohumeral muscular dystrophy (FSHD)	up-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-222	glioblastoma	up-regulated	microarray	2005	Extensive modulation of a set of microRNAs in primary glioblastoma.
hsa-miR-222	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	Profiling microRNA expression in hepatocellular carcinoma reveals microRNA-224 up-regulation and apoptosis inhibitor-5 as a microRNA-224-specific target.
hsa-miR-222	hepatocellular carcinoma (HCC)	up-regulated	microarray	2008	MicroRNA-223 is commonly repressed in hepatocellular carcinoma and potentiates expression of Stathmin1.
hsa-miR-1	coronary artery disease	up-regulated	Northern blot, qRT-PCR etc	2007	The muscle-specific microRNA miR-1 regulates cardiac arrhythmogenic potential by targeting GJA1 and KCNJ2.
hsa-miR-1	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Methylation mediated silencing of MicroRNA-1 gene and its role in hepatocellular carcinogenesis.
hsa-miR-1	Cerebellar neurodegeneration	down-regulated	Northern blot, qRT-PCR etc	2007	Cerebellar neurodegeneration in the absence of microRNAs.
hsa-miR-1	retinitis pigmentosa (RP)	down-regulated	Northern blot, qRT-PCR etc	2007	Altered retinal microRNA expression profile in a mouse model of retinitis pigmentosa.
hsa-miR-192-2	pituitary adenoma	down-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-192-3	pituitary adenoma	up-regulated	microarray	2007	Identification of differentially expressed microRNAs by microarray: a possible role for microRNA genes in pituitary adenomas.
hsa-miR-193a	Oral Squamous Cell Carcinoma (OSCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Exploration of tumor-suppressive microRNAs silenced by DNA hypermethylation in oral cancer.
hsa-miR-193b	autism spectrum disorder (ASD)	down-regulated	microarray	2008	Heterogeneous dysregulation of microRNAs across the autism spectrum.
hsa-miR-193b	Duchenne muscular dystrophy (DMD)	down-regulated	microarray	2007	Distinctive patterns of microRNA expression in primary muscular disorders.
hsa-miR-193b	uveal melanoma	up-regulated	microarray	2008	Micro-RNAs associated with metastasis in uveal melanoma identified by multiplexed microarray profiling.
hsa-miR-194	hepatocellular carcinoma (HCC)	down-regulated	Northern blot, qRT-PCR etc	2008	Identification of metastasis-related microRNAs in hepatocellular carcinoma.
hsa-miR-194	cardiac hypertrophy	down-regulated	Northern blot, qRT-PCR etc	2008	MicroRNAs play an essential role in the development of cardiac hypertrophy.
